,DAW,VR,DAW SE,VR SE
Standing,2.083333333,8.416666667,0.933049199,0.690392218
Satisfaction,4.916666667,7.916666667,0.608753487,0.528839973
Enjoyment,5.833333333,9.333333333,0.833333333,0.43228311
Helpful,5.75,8.083333333,0.789370674,0.514315275
Effort Reward,6.083333333,8.75,0.882990214,0.578988146
Expressiveness,5.166666667,8,0.68349961,0.53654337
Absorption,3.5,7.333333333,0.99620492,0.59458839
Happiness,6.583333333,7.916666667,0.964980243,0.712000312
Easyness,6.083333333,7.916666667,0.811455233,0.608753487
Creativity,5.416666667,7.916666667,0.773209891,0.679330478
Attention,4.25,7.666666667,1.023400452,0.581707692
Spatial coherence,6.333333333,7.833333333,0.741960276,0.660960428
