Participant,Condition,startedwith,Track,QoM
ID1,2D,3D-first,Percussions (ID1),8.676895096353737
ID1,3D,3D-first,Percussions (ID1),4.68513982243311
ID1,2D,3D-first,Xylophone (ID3),4.185002903785499
ID1,3D,3D-first,Xylophone (ID3),3.8518426104233825
ID1,2D,3D-first,Texture (ID5),12.745615780581996
ID1,3D,3D-first,Texture (ID5),4.823355786988576
ID1,2D,3D-first,Brass (ID7),6.050004907601194
ID1,3D,3D-first,Brass (ID7),3.7043218144069185
ID1,2D,3D-first,Voice (ID9),7.355678079861232
ID1,3D,3D-first,Voice (ID9),3.326783734687334
ID2,2D,2D-first,Percussions (ID1),6.649451314394001
ID2,3D,2D-first,Percussions (ID1),6.969362970824525
ID2,2D,2D-first,Xylophone (ID3),6.8542903379651525
ID2,3D,2D-first,Xylophone (ID3),14.624574157877301
ID2,2D,2D-first,Texture (ID5),11.328130481684052
ID2,3D,2D-first,Texture (ID5),6.2633035660582745
ID2,2D,2D-first,Brass (ID7),14.92919621807416
ID2,3D,2D-first,Brass (ID7),12.25748957710176
ID2,2D,2D-first,Voice (ID9),0.0
ID2,3D,2D-first,Voice (ID9),0.010755001168368535
ID3,2D,3D-first,Percussions (ID1),2.489234994093338
ID3,3D,3D-first,Percussions (ID1),4.901144885365886
ID3,2D,3D-first,Xylophone (ID3),4.08708667844517
ID3,3D,3D-first,Xylophone (ID3),4.186533355120112
ID3,2D,3D-first,Texture (ID5),14.58269194285285
ID3,3D,3D-first,Texture (ID5),17.820552116237934
ID3,2D,3D-first,Brass (ID7),11.815683376804195
ID3,3D,3D-first,Brass (ID7),14.508170228963815
ID3,2D,3D-first,Voice (ID9),6.6856347610668365
ID3,3D,3D-first,Voice (ID9),3.4482231082856902
ID4,2D,2D-first,Percussions (ID1),11.933619579906752
ID4,3D,2D-first,Percussions (ID1),35.32497825316294
ID4,2D,2D-first,Xylophone (ID3),0.0
ID4,3D,2D-first,Xylophone (ID3),0.02492895398403841
ID4,2D,2D-first,Texture (ID5),0.49011856
ID4,3D,2D-first,Texture (ID5),0.02615208536224231
ID4,2D,2D-first,Brass (ID7),13.496136976976896
ID4,3D,2D-first,Brass (ID7),18.87659680502674
ID4,2D,2D-first,Voice (ID9),1.452886780144884
ID4,3D,2D-first,Voice (ID9),0.8322935249708607
ID5,2D,3D-first,Percussions (ID1),0.0
ID5,3D,3D-first,Percussions (ID1),0.847077520200403
ID5,2D,3D-first,Xylophone (ID3),5.6168263363836335
ID5,3D,3D-first,Xylophone (ID3),8.417393567618255
ID5,2D,3D-first,Texture (ID5),18.986395861558506
ID5,3D,3D-first,Texture (ID5),21.179080571730736
ID5,2D,3D-first,Brass (ID7),9.123401684916978
ID5,3D,3D-first,Brass (ID7),6.5490400581219195
ID5,2D,3D-first,Voice (ID9),2.7564314426006726
ID5,3D,3D-first,Voice (ID9),2.1635439887902024
ID6,2D,2D-first,Percussions (ID1),11.13014371131279
ID6,3D,2D-first,Percussions (ID1),6.589058449640204
ID6,2D,2D-first,Xylophone (ID3),3.788768592088977
ID6,3D,2D-first,Xylophone (ID3),19.629151804667906
ID6,2D,2D-first,Texture (ID5),8.36173019900189
ID6,3D,2D-first,Texture (ID5),23.175616603753987
ID6,2D,2D-first,Brass (ID7),21.68121586765966
ID6,3D,2D-first,Brass (ID7),20.377606387478238
ID6,2D,2D-first,Voice (ID9),1.7091770014785541
ID6,3D,2D-first,Voice (ID9),8.8120252090071
ID7,2D,3D-first,Percussions (ID1),9.376572424934114
ID7,3D,3D-first,Percussions (ID1),14.098247443286246
ID7,2D,3D-first,Xylophone (ID3),17.63823223157995
ID7,3D,3D-first,Xylophone (ID3),23.191424303344917
ID7,2D,3D-first,Texture (ID5),8.842283881948424
